Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2009-10-02,20.52,20.815,20.498,19.969,18824000,19.186865,MA,0.97,0.06
2009-10-05,20.868,20.992,20.592,20.052999,20026000,19.267574,MA,0.97,0.06
2009-10-06,21.121,21.216,20.806,20.075001,18787000,19.288721,MA,0.97,0.06
2009-10-07,20.916,21.996,20.885,21.09,32571000,20.279116,MA,0.97,0.06
2009-10-08,21.932,22.407,21.84,21.096001,23425000,20.284887,MA,0.97,0.06
2009-10-09,21.944,22.342,21.865,21.441999,13852000,20.61758,MA,0.97,0.06
2009-10-12,22.73,22.88,22.286,21.6,13797000,20.769503,MA,0.97,0.06
2009-10-13,22.445,22.7,22.27,21.736,11629000,20.900284,MA,0.97,0.06
2009-10-14,22.983,23.082,22.519,21.948,18604000,21.104124,MA,0.97,0.06
2009-10-15,22.62,23.632,22.559,22.535999,24368000,21.669516,MA,0.97,0.06
2009-10-16,23.275,23.494,23.067,22.386999,13005000,21.526245,MA,0.97,0.06
2009-10-19,23.296,23.514,23.074,22.559999,9325000,21.692596,MA,0.97,0.06
2009-10-20,23.625,23.625,23.199,22.5,8454000,21.634899,MA,0.97,0.06
2009-10-21,23.227,24.144,23.227,22.566999,14613000,21.699326,MA,0.97,0.06
2009-10-22,23.556,23.866,23.245,22.927999,11034000,22.046448,MA,0.97,0.06
2009-10-23,24.054,24.154,23.646,22.996,15651000,22.111834,MA,0.97,0.06
2009-10-26,23.987,24.064,22.958,22.075001,18327000,21.226242,MA,0.97,0.06
2009-10-27,22.99,23.211,22.794,22.055,19653000,21.207014,MA,0.97,0.06
2009-10-28,23.077,23.805,22.831,22.049999,30073000,21.202204,MA,0.97,0.06
2009-10-29,23.242,23.795,23.157,22.792,17535000,21.915682,MA,0.97,0.06
2009-10-30,23.47,23.545,22.672,21.902,25534000,21.059898,MA,0.97,0.06
2009-11-02,22.984,23.458,22.725,22.264999,22586000,21.408936,MA,1.03,0.06
2009-11-03,23.398,23.519,21.795,21.92,57844000,21.077206,MA,1.03,0.06
2009-11-04,22.891,23.794,22.891,22.497999,34795000,21.63298,MA,1.03,0.06
2009-11-05,23.712,23.947,23.352,23.025,18812000,22.139717,MA,1.03,0.06
2009-11-06,23.687,24.666,23.637,23.690001,24834000,22.779148,MA,1.03,0.06
2009-11-09,24.804,25.264,24.44,24.219,27818000,23.287815,MA,1.03,0.06
2009-11-10,25.103,25.116,24.696,23.867001,19921000,22.949345,MA,1.03,0.06
2009-11-11,24.859,25.254,24.586,23.790001,17284000,22.875309,MA,1.03,0.06
2009-11-12,24.699,25.131,24.504,23.688999,13814000,22.778187,MA,1.03,0.06
2009-11-13,24.71,24.804,24.194,23.472,14936000,22.569529,MA,1.03,0.06
2009-11-16,24.588,24.622,23.807,23.08,26591000,22.192596,MA,1.03,0.06
2009-11-17,23.894,24.07,23.83,23.1,18894000,22.211834,MA,1.03,0.06
2009-11-18,23.925,24.12,23.494,22.728001,20717000,21.854136,MA,1.03,0.06
2009-11-19,23.48,24.54,23.178,23.009001,43957000,22.124331,MA,1.03,0.06
2009-11-20,23.893,24.101,23.757,23.115999,18119000,22.227215,MA,1.03,0.06
2009-11-23,24.283,24.574,24.21,23.618999,13152000,22.71088,MA,1.03,0.06
2009-11-24,24.632,24.765,24.338,23.764999,10483000,22.851259,MA,1.03,0.06
2009-11-25,24.8,25.02,24.712,23.983999,11677000,23.061852,MA,1.03,0.06
2009-11-27,24.39,24.793,24.388,23.559,6481000,22.653183,MA,1.03,0.06
2009-11-30,24.642,25.049,24.552,24.086,13921000,23.15992,MA,1.03,0.06
2009-12-01,25.162,25.373,25.049,24.299,13805000,23.364738,MA,1.03,0.06
2009-12-02,25.192,25.676,25.158,24.242001,13979000,23.309927,MA,1.03,0.06
2009-12-03,25.358,25.455,24.482,23.615999,12077000,22.707996,MA,1.03,0.06
2009-12-04,24.96,25.288,24.493,24.132999,14319000,23.205112,MA,1.03,0.06
2009-12-07,24.908,25.219,24.705,23.893999,7632000,22.975306,MA,1.03,0.06
2009-12-08,24.752,24.931,24.615,23.861,6940000,22.943575,MA,1.03,0.06
2009-12-09,24.736,25.299,24.694,24.294001,9223000,23.359919,MA,1.03,0.06
2009-12-10,25.447,25.529,25.165,24.412001,9749000,23.473392,MA,1.03,0.06
2009-12-11,25.566,25.584,25.334,24.393999,8449000,23.456081,MA,1.03,0.06
2009-12-14,25.688,25.767,25.208,24.747999,12555000,23.796474,MA,1.03,0.06
2009-12-15,25.666,25.962,25.451,24.555,15150000,23.610889,MA,1.03,0.06
